"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"1","JPMorgan Chase Bank","1","JPMorgan Chase Bank Main Office","0","1824-01-01","1824-01-01","1111 Polaris Parkway","Columbus","Delaware","OH","43240","40.144530000000003","-82.991150000000005","633131000","743268000","832455000","916543000","1032549000","1069425000","1155185000"
"2","JPMorgan Chase Bank","0","Vernon Hills Scarsdale Branch","2","1961-03-20","1961-03-20","676 White Plains Road","Scarsdale","Westchester","NY","10583","40.970080000000003","-73.806700000000006","293229","310791","325742","327930","327792","341475","381558"
"3","JPMorgan Chase Bank","0","Great Neck Northern Boulevard Branch","3","1963-09-09","1963-09-09","410 Northern Boulevard","Great Neck","Nassau","NY","11021","40.779440000000001","-73.722399999999993","191011","206933","216439","237983","234183","262455","278940"
"4","JPMorgan Chase Bank","0","North Hartsdale Branch","4","1966-02-19","1966-02-19","353 North Central Avenue","Hartsdale","Westchester","NY","10530","41.026539999999997","-73.791679999999999","87110","88367","93163","109659","111985","116772","140233"
"5","JPMorgan Chase Bank","0","Lawrence Rockaway Branch","5","1965-01-16","1965-01-16","335 Rockaway Turnpike","Lawrence","Nassau","NY","11559","40.62715","-73.736750000000001","172608","172749","189413","198445","205198","223200","235594"
"6","JPMorgan Chase Bank","0","Mount Vernon Branch","9","1964-02-25","1964-02-25","22 West First Street","Mount Vernon","Westchester","NY","10550","40.911439999999999","-73.838040000000007","146820","136672","140678","154313","148707","145499","151949"
"7","JPMorgan Chase Bank","0","Castle Hill Branch","12","1965-12-11","1965-12-11","784 Castle Hill Avenue","Bronx","Bronx","NY","10473","40.822920000000003","-73.848870000000005","75131","80172","82333","94538","97046","107166","110592"
"8","JPMorgan Chase Bank","0","Burnside Avenue Branch","15","1922-02-14","1922-02-14","5 West Burnside Avenue","Bronx","Bronx","NY","10453","40.85389","-73.907600000000002","39888","42546","43800","45867","51363","56693","62993"
"9","JPMorgan Chase Bank","0","Gun Hill Branch","16","1950-12-18","1950-12-18","1308 East Gun Hill Road","Bronx","Bronx","NY","10469","40.871510000000001","-73.848230000000001","73702","70049","70447","78946","80677","82756","88954"
"10","JPMorgan Chase Bank","0","Kingsbridge Road Branch","18","1924-08-18","1924-08-18","66 East Kingsbridge Road","Bronx","Bronx","NY","10468","40.866709999999998","-73.895619999999994","69778","72816","74729","75470","78759","83978","88674"
"11","JPMorgan Chase Bank","0","Riverdale Branch","20","1950-06-01","1950-06-01","3775 Riverdale Avenue","Bronx","Bronx","NY","10463","40.887630000000001","-73.90737","304300","311508","330224","360791","367202","364435","387333"
"12","JPMorgan Chase Bank","0","Washington Heights Branch","21","1909-01-02","1909-01-02","1421 Saint Nicholas Avenue","New York City","New York","NY","10033","40.849409999999999","-73.933700000000002","136997","142882","151420","158669","157862","163336","179566"
"13","JPMorgan Chase Bank","0","Broadway Branch","22","1926-07-12","1926-07-12","5581 Broadway","Bronx","Bronx","NY","10463","40.879130000000004","-73.904650000000004","113665","112165","122634","126619","124031","134475","131545"
"14","JPMorgan Chase Bank","0","Westchester Square Branch","24","1959-06-29","1959-06-29","2725 East Tremont Avenue","Bronx","Bronx","NY","10461","40.842390000000002","-73.845010000000002","155289","157396","161177","169839","167495","183544","194609"
"15","JPMorgan Chase Bank","0","Bay Parkway and 85th St Branch","26","1964-03-25","1964-03-25","8418 Bay Parkway","Brooklyn","Kings","NY","11214","40.602679999999999","-73.993039999999993","187794","195965","214398","227519","252124","278547","297821"
"16","JPMorgan Chase Bank","0","Grand Army Plaza Branch","33","1927-03-14","1927-03-14","401 Flatbush Avenue","Brooklyn","Kings","NY","11238","40.675759999999997","-73.971350000000001","135506","136764","146051","163797","178001","227647","255084"
"17","JPMorgan Chase Bank","0","Carroll Gardens Branch","34","1913-06-09","1913-06-09","79 Hamilton Avenue","Brooklyn","Kings","NY","11231","40.682789999999997","-74.005560000000003","46199","51254","54859","70898","69824","77536","79441"
"18","JPMorgan Chase Bank","0","Third Avenue & 51st Street Branch","37","1961-05-05","1961-05-05","850 Third Avenue","New York City","New York","NY","10022","40.756749999999997","-73.970079999999996","463550","456859","508804","540179","595786","581725","643283"
"19","JPMorgan Chase Bank","0","East End Branch","38","1961-05-22","1961-05-22","1495 York Avenue","New York City","New York","NY","10075","40.77158","-73.950379999999996","299301","306225","317068","359173","410737","425169","447613"
"20","JPMorgan Chase Bank","0","Audubon Branch","40","1917-04-02","1917-04-02","3940 Broadway","New York City","New York","NY","10032","40.839509999999997","-73.940770000000001","91380","97219","104093","106875","114292","122220","139830"
"21","JPMorgan Chase Bank","0","First Avenue & 72nd Street Branch","41","1964-06-15","1964-06-15","360 East 72nd Street","New York City","New York","NY","10021","40.768149999999999","-73.956959999999995","384454","364852","387515","440753","500574","483835","536219"
"22","JPMorgan Chase Bank","0","Soho Branch","42","1954-10-18","1954-10-18","525 Broadway","New York City","New York","NY","10012","40.722900000000003","-73.998890000000003","286082","320252","344141","385854","488886","508122","615029"
"23","JPMorgan Chase Bank","0","Times Square Branch","44","1927-05-02","1927-05-02","3 Times Square","New York City","New York","NY","10036","40.75658","-73.986289999999997","313024","338725","432032","449569","474047","495929","532606"
